,ID,Age,Status_num,Education_num,Income,Num_of_kids,Num_of_Teen,Responded,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Num_Web_Visits,Mnt_Products,Complain,Cost_Contact,Revenue,Mnt_Products,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish
0,5430,66.0,5,2,54450.0,1.0,1.0,0,12.0,9.0,2.0,8.0,16.0,684.0,0.0,3.0,11.0,684.0,454.0,0.0,171.0,8.0,19.0,32.0
1,8996,65.0,4,5,55212.0,2.0,1.0,0,12.0,7.0,2.0,8.0,18.0,603.0,0.0,3.0,11.0,603.0,230.0,42.0,192.0,49.0,37.0,53.0
2,8432,66.0,5,2,54450.0,1.0,1.0,0,12.0,9.0,2.0,8.0,16.0,684.0,0.0,3.0,11.0,684.0,454.0,0.0,171.0,8.0,19.0,32.0
3,6566,68.0,4,5,72550.0,1.0,1.0,0,9.0,5.0,2.0,12.0,16.0,1319.0,0.0,3.0,11.0,1319.0,826.0,50.0,317.0,50.0,38.0,38.0
4,2552,67.0,2,5,55521.0,1.0,2.0,1,9.0,6.0,3.0,6.0,14.0,446.0,0.0,3.0,11.0,446.0,416.0,0.0,26.0,0.0,0.0,4.0
5,1165,64.0,2,5,50729.0,1.0,1.0,0,9.0,6.0,2.0,7.0,12.0,496.0,0.0,3.0,11.0,496.0,239.0,13.0,143.0,45.0,4.0,52.0
6,9967,48.0,3,2,53034.0,1.0,1.0,0,8.0,6.0,1.0,7.0,16.0,447.0,0.0,3.0,11.0,447.0,160.0,15.0,196.0,15.0,11.0,50.0
7,4095,51.0,4,2,37150.0,1.0,0.0,0,8.0,4.0,3.0,6.0,14.0,467.0,0.0,3.0,11.0,467.0,167.0,37.0,64.0,49.0,34.0,116.0
8,6575,41.0,5,2,56386.0,1.0,1.0,0,8.0,9.0,1.0,7.0,18.0,612.0,0.0,3.0,11.0,612.0,230.0,48.0,214.0,13.0,32.0,75.0
9,2849,43.0,2,2,60474.0,0.0,1.0,0,7.0,10.0,2.0,12.0,14.0,877.0,0.0,3.0,11.0,877.0,265.0,199.0,0.0,234.0,9.0,170.0
10,4148,50.0,4,2,38988.0,1.0,2.0,0,7.0,5.0,1.0,6.0,16.0,348.0,0.0,3.0,11.0,348.0,164.0,24.0,103.0,12.0,3.0,42.0
11,7187,53.0,5,3,54730.0,1.0,1.0,0,7.0,4.0,10.0,4.0,6.0,721.0,0.0,3.0,11.0,721.0,375.0,42.0,48.0,94.0,66.0,96.0
12,4299,62.0,5,2,70971.0,0.0,1.0,0,7.0,11.0,11.0,5.0,14.0,1825.0,0.0,3.0,11.0,1825.0,1001.0,17.0,572.0,93.0,125.0,17.0
13,5892,42.0,4,2,34968.0,1.0,0.0,0,7.0,3.0,2.0,5.0,14.0,221.0,0.0,3.0,11.0,221.0,158.0,6.0,45.0,8.0,2.0,2.0
14,1600,57.0,4,3,56962.0,2.0,1.0,0,7.0,6.0,3.0,5.0,14.0,411.0,0.0,3.0,11.0,411.0,292.0,3.0,77.0,10.0,3.0,26.0
15,5837,55.0,4,2,51479.0,1.0,1.0,0,7.0,6.0,3.0,6.0,14.0,494.0,0.0,3.0,11.0,494.0,247.0,8.0,160.0,6.0,8.0,65.0
16,4769,45.0,5,3,57954.0,1.0,1.0,1,7.0,8.0,2.0,6.0,14.0,493.0,0.0,3.0,11.0,493.0,456.0,4.0,24.0,0.0,0.0,9.0
17,4599,46.0,4,3,49681.0,0.0,2.0,0,6.0,7.0,1.0,7.0,14.0,458.0,0.0,3.0,11.0,458.0,411.0,0.0,26.0,0.0,0.0,21.0
