ID,Year_Birth,Education,Status,Income,Num_of_kids,Num_of_Teen,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Num_Web_Visits,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Complain,Cost_Contact,Revenue,Response,Education_num,Status_num,Age,age_bin,income_bin,Mnt_Fruits_min_max,Mnt_Meat_min_max,Mnt_sweet_min_max,Responded_any_time,Mnt_Wines_min_max,Mnt_Gold_Products_min_max,Mnt_Fish_min_max,Responded_old_campains,Responded
5376,1979.0,Graduation,Married,50611.0,1.0,0.0,06/01/2013,42,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,4,43.0,2.0,4.0,0.0006697923643670462,0.005025125628140704,0.9999999999999999,0,0.003861003861003861,0.0038022813688212928,0.0027624309392265192,0,0.0
6862,1971.0,Graduation,Divorced,1730.0,0.0,0.0,18/05/2014,65,1.0,1.0,3.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,3,51.0,3.0,0.0,0.0006697923643670462,0.005025125628140704,0.001160092807424594,0,0.003861003861003861,0.0038022813688212928,0.0027624309392265192,0,0.0
10749,1991.0,Graduation,Single,8028.0,0.0,0.0,18/09/2012,62,73.0,18.0,66.0,7.0,12.0,2.0,15.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,2,31.0,2.0,0.0,0.04889484259879437,0.09045226130653267,0.037703016241299306,0,0.02702702702702703,0.045627376425855515,0.0055248618784530384,0,0.0
238,1967.0,2n Cycle,Together,67309.0,1.0,1.0,23/01/2013,76,515.0,47.0,181.0,149.0,95.0,95.0,15.0,9.0,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,5,55.0,3.0,5.0,0.34494306764902877,0.23618090452261306,0.10440835266821345,0,0.5752895752895753,0.3612167300380228,0.26243093922651933,0,0.0
1501,1982.0,PhD,Married,160803.0,0.0,0.0,04/08/2012,21,55.0,16.0,1622.0,17.0,3.0,4.0,15.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,40.0,2.0,7.0,0.036838580040187544,0.08040201005025126,0.9402552204176333,0,0.06563706563706564,0.011406844106463879,0.011049723756906077,0,0.0
8475,1973.0,PhD,Married,157243.0,0.0,1.0,01/03/2014,98,20.0,2.0,1582.0,1.0,2.0,1.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,49.0,3.0,7.0,0.013395847287340924,0.010050251256281407,0.9170533642691414,0,0.003861003861003861,0.0076045627376425855,0.0027624309392265192,0,0.0
9931,1963.0,PhD,Married,4023.0,1.0,1.0,23/06/2014,29,5.0,0.0,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,59.0,3.0,0.0,0.003348961821835231,0.0,0.0,0,0.003861003861003861,0.0038022813688212928,0.0027624309392265192,0,0.0
8148,1956.0,Master,Together,50898.0,1.0,1.0,08/01/2013,88,285.0,28.0,242.0,55.0,114.0,135.0,13.0,6.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,5,66.0,4.0,4.0,0.19089082384460818,0.1407035175879397,0.13979118329466358,0,0.21235521235521235,0.43346007604562736,0.3729281767955801,0,0.0
3594,1973.0,Master,Married,54108.0,1.0,1.0,05/11/2012,74,539.0,6.0,91.0,8.0,6.0,97.0,13.0,8.0,2.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,4,49.0,3.0,4.0,0.3610180843938379,0.03015075376884422,0.05220417633410672,0,0.03088803088803089,0.022813688212927757,0.26795580110497236,0,0.0
1513,1979.0,2n Cycle,Together,60839.0,1.0,1.0,28/08/2012,72,600.0,21.0,128.0,223.0,150.0,128.0,13.0,2.0,2.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,5,43.0,2.0,5.0,0.40187541862022774,0.10552763819095477,0.07366589327146171,0,0.8610038610038611,0.5703422053231939,0.35359116022099446,0,0.0
2408,1976.0,Graduation,Married,50611.0,1.0,1.0,20/11/2012,20,490.0,0.0,184.0,10.0,28.0,21.0,12.0,7.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,4,46.0,3.0,4.0,0.3281982585398526,0.0,0.10614849187935034,0,0.03861003861003861,0.10646387832699619,0.058011049723756904,0,0.0
1081,1957.0,PhD,Married,75283.0,1.0,2.0,27/03/2013,26,733.0,9.0,180.0,12.0,19.0,66.0,11.0,6.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,65.0,4.0,6.0,0.49095780308104486,0.04522613065326633,0.10382830626450115,0,0.04633204633204634,0.07224334600760456,0.18232044198895025,0,0.0
4491,1949.0,Master,Married,62845.0,1.0,1.0,01/10/2012,3,1099.0,0.0,45.0,0.0,0.0,34.0,11.0,3.0,4.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,4,73.0,4.0,5.0,0.7361018084393838,0.0,0.025522041763341066,1,0.0,0.0,0.09392265193370165,0,1.0
3678,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0,1.0
873,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0,1.0
531,1954.0,PhD,Divorced,57333.0,0.0,1.0,22/09/2012,55,941.0,14.0,397.0,76.0,58.0,176.0,11.0,8.0,5.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,5,3,68.0,4.0,4.0,0.6302746148693905,0.07035175879396985,0.2296983758700696,0,0.29343629343629346,0.22053231939163498,0.4861878453038674,0,0.0
967,1976.0,Graduation,Married,46049.0,1.0,1.0,21/07/2013,11,342.0,9.0,112.0,19.0,14.0,19.0,10.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,2,4,46.0,3.0,3.0,0.2290689886135298,0.04522613065326633,0.06438515081206496,0,0.07335907335907337,0.053231939163498096,0.052486187845303865,0,0.0
5207,1963.0,PhD,Married,53378.0,1.0,1.0,24/09/2012,41,489.0,6.0,152.0,8.0,6.0,132.0,10.0,9.0,4.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,5,4,59.0,3.0,4.0,0.3275284661754856,0.03015075376884422,0.08758700696055684,0,0.03088803088803089,0.022813688212927757,0.3646408839779005,0,0.0
3478,1971.0,PhD,Married,60585.0,1.0,1.0,24/06/2013,17,267.0,42.0,309.0,55.0,42.0,21.0,10.0,7.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,5,4,51.0,3.0,5.0,0.17883456128600134,0.21105527638190955,0.17865429234338748,0,0.21235521235521235,0.1596958174904943,0.058011049723756904,0,0.0
2877,1974.0,Master,Together,46014.0,1.0,1.0,21/01/2013,21,410.0,0.0,59.0,19.0,9.0,44.0,10.0,7.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,5,48.0,3.0,3.0,0.27461486939048896,0.0,0.03364269141531322,0,0.07335907335907337,0.034220532319391636,0.12154696132596685,0,0.0
4974,1970.0,Graduation,Single,83273.0,1.0,2.0,25/09/2012,98,433.0,89.0,650.0,16.0,102.0,102.0,10.0,4.0,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,2,52.0,3.0,6.0,0.290020093770931,0.4472361809045226,0.37645011600928074,0,0.06177606177606178,0.38783269961977185,0.281767955801105,0,0.0
8581,1971.0,Master,Married,49505.0,1.0,1.0,05/03/2013,4,604.0,0.0,100.0,19.0,0.0,28.0,9.0,10.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,4,51.0,3.0,4.0,0.4045545880776959,0.0,0.057424593967517396,0,0.07335907335907337,0.0,0.07734806629834254,0,0.0
4168,1966.0,Graduation,Single,37070.0,1.0,1.0,20/03/2013,30,231.0,7.0,137.0,4.0,15.0,39.0,9.0,5.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,2,2,56.0,3.0,3.0,0.15472203616878766,0.035175879396984924,0.07888631090487239,0,0.015444015444015444,0.057034220532319393,0.10773480662983426,0,0.0
6097,1959.0,Graduation,Single,50664.0,1.0,1.0,16/01/2013,64,313.0,8.0,104.0,6.0,4.0,126.0,9.0,8.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,2,63.0,4.0,4.0,0.20964501004688546,0.04020100502512563,0.05974477958236658,0,0.02316602316602317,0.015209125475285171,0.34806629834254144,0,0.0
8825,1962.0,Graduation,Together,51195.0,1.0,1.0,01/04/2013,46,230.0,14.0,156.0,82.0,24.0,58.0,8.0,9.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,5,60.0,3.0,4.0,0.15405224380442062,0.07035175879396985,0.08990719257540603,0,0.31660231660231664,0.09125475285171103,0.1602209944751381,0,0.0
8957,1952.0,2n Cycle,Single,64831.0,1.0,1.0,10/06/2013,51,480.0,86.0,249.0,75.0,86.0,144.0,8.0,6.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,2,70.0,4.0,5.0,0.3215003348961822,0.4321608040201005,0.14385150812064965,0,0.2895752895752896,0.3269961977186312,0.39779005524861877,0,0.0
6927,1968.0,PhD,Married,44377.0,1.0,1.0,05/10/2012,70,224.0,0.0,30.0,0.0,0.0,10.0,8.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,54.0,3.0,3.0,0.15003348961821836,0.0,0.016821345707656612,0,0.0,0.0,0.027624309392265192,0,0.0
1406,1975.0,Graduation,Single,53201.0,1.0,1.0,12/02/2013,49,280.0,7.0,81.0,20.0,0.0,27.0,8.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,2,47.0,3.0,4.0,0.18754186202277293,0.035175879396984924,0.04640371229698376,0,0.07722007722007722,0.0,0.07458563535911603,0,0.0
635,1966.0,Master,Married,57183.0,1.0,1.0,19/03/2013,51,464.0,5.0,64.0,7.0,0.0,70.0,8.0,9.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,4,56.0,3.0,4.0,0.31078365706630945,0.02512562814070352,0.036542923433874705,0,0.02702702702702703,0.0,0.19337016574585636,0,0.0
2223,1965.0,2n Cycle,Divorced,64176.0,0.0,1.0,03/08/2012,52,1215.0,33.0,249.0,64.0,116.0,149.0,8.0,8.0,9.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,3,57.0,3.0,5.0,0.8137977227059611,0.1658291457286432,0.14385150812064965,0,0.2471042471042471,0.44106463878326996,0.4116022099447514,0,0.0
8897,1965.0,Graduation,Single,42720.0,1.0,1.0,24/04/2013,9,392.0,5.0,91.0,28.0,26.0,112.0,8.0,7.0,3.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,2,2,57.0,3.0,3.0,0.2625586068318821,0.02512562814070352,0.05220417633410672,0,0.10810810810810811,0.09885931558935361,0.30939226519337015,0,0.0
7129,1962.0,PhD,Married,54693.0,0.0,1.0,17/02/2013,72,686.0,17.0,142.0,23.0,26.0,35.0,8.0,6.0,4.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,5,4,60.0,3.0,4.0,0.4594775619557937,0.08542713567839195,0.08178654292343386,0,0.0888030888030888,0.09885931558935361,0.09668508287292818,0,0.0
4478,1979.0,Graduation,Married,63777.0,1.0,1.0,24/03/2013,87,457.0,5.0,106.0,15.0,17.0,53.0,8.0,11.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,4,43.0,2.0,5.0,0.3060951105157401,0.02512562814070352,0.060904872389791184,0,0.05791505791505792,0.06463878326996197,0.1464088397790055,0,0.0
